state,plant_name,city,legacy_impoundment_flag,compliance_website,region,coal_rank,coal_type_raw,liner_status,impoundment_status,county_population,county_median_income,county_poverty_rate_pct,coal_burned_tons_2024,n_ponds_assessed,coal_rank_source,coal_rank_note,liner_status_source
Alabama,Widows Creek Fossil Plant,Stevenson,Yes (1) and Potential (2),https://www.tva.com/environment/environmental-stewardship/coal-combustion-residuals/widows-creek-coal-combustion-residuals,South,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,Barry,Bucks,No,https://www.alabamapower.com/company/about-us/how-we-operate/ccr-rule-and-compliance.html,South,Bituminous,,,,,,,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,Charles R Lowman,Leroy,No,http://lowmanccr.com/,South,Bituminous,,,,,,,,4.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,Colbert,Tuscumbia,No,https://www.tva.gov/Environment/Environmental-Stewardship/Coal-Combustion-Residuals,South,Bituminous,,,,,,,,3.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,E C Gaston,Wilsonville,No,https://www.alabamapower.com/company/about-us/how-we-operate/ccr-rule-and-compliance.html,South,Bituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,Gadsden,Gadsden,No,https://www.alabamapower.com/company/about-us/how-we-operate/ccr-rule-and-compliance.html,South,Bituminous,,,,,,,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,Gorgas,Parrish,No,https://www.alabamapower.com/company/about-us/how-we-operate/ccr-rule-and-compliance.html,South,Bituminous,,,,,,,,2.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,Greene County,Demopolis,No,https://www.alabamapower.com/company/about-us/how-we-operate/ccr-rule-and-compliance.html,South,Bituminous,,,,,,,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alabama,James H Miller Jr,Quinton,No,https://www.alabamapower.com/company/about-us/how-we-operate/ccr-rule-and-compliance.html,South,Bituminous,,,,,,,,2.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Alaska,Healy,Healy,Not indicated,https://www.gvea.com/ccr-rule-compliance/,West,,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arizona,Apache Station,Cochise,Not indicated,https://ccr.azgt.coop/,West,Subbituminous,,,,,,,,7.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arizona,Cholla,Joseph City,Not indicated,https://www.aps.com/en/Utility/Regulatory-and-Legal/Environmental-Compliance#Cholla,West,Subbituminous,,,,,,,,2.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arizona,Coronado,St Johns,Not indicated,https://ccr.srpnet.com/,West,Subbituminous,,,,,,,,1.0,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
Arizona,Navajo,Page,Not indicated,https://ccr.srpnet.com/,West,Subbituminous,,,,,,,,,regional_prior,"Regional prior only (USGS COALQUAL regional pattern, per US_Coal_Ash_Pond_Inventory.xlsx Read Me). Real plant-level EIA-860 coal type from census_data_towns_and_power_plants_1.xlsx is used instead wherever available and always overrides this prior.",national_prior_94pct_unlined
